"r1","r2","r3","r4","r5","unit"
1,1,1,1,1,"Da war schon noch mehr als der Doppelpunkt 😋"
1,1,1,1,1,"danke für die Lösung"
0,0,1,0,0,"Versuch: Öztütürk, G. & Hürsen, C. (2013): Determination of English Language Learning. In Procedia- Social and Behavioral Sciences irgendwasmitJahrundHeftnummermitSeitenzahlirgendwas mit Jahr und Heftnummer mit SeitenzahlirgendwasmitJahrundHeftnummermitSeitenzahl, DOIDOIDOI"
0,0,0,0,1,"Bedingt."
0,0,1,0,0,"Wie gebe ich Band- und Heftnummer an?"
0,0,1,0,0,"In diesem Beispiel ""Band 84, Heft ?? , S. 1899-1907. DOIDOIDOI"""
0,0,0,0,0,"Ich weiß ja nicht, wie oft die Zeitschrift erscheint. ""Heft Juli""?"
0,0,1,0,0,"?"
0,0,0,0,0,"Oder ist Band und Heft dasselbe in diesem Fall"
1,1,1,1,1,"👍"
1,0,1,0,0,"Dann würde das jetzt bei mir so aussehen: Öztütürk, G. & Hürsen, C. (2013). Determination of English Language Learning. In *Procedia- Social and Behavioral Sciences. *Band 84, S. 1899-1907. DOIDOIDOI."
1,1,1,1,1,"Ok, danke"
1,1,1,1,1,"Mach ich"
1,0,1,1,1,"Ok, habs endlich zu den statistischen Abkürzungen geschafft."
0,1,1,0,0,"Ich weiß noch ungefähr, dass die Stichprobengröße N oder n sein müsste,"
1,1,1,1,1,"ist das richtig?^^"
1,1,1,1,1,"Ahja, gut."
0,0,1,0,0,"Und wie alle anderen Abkürzungen, bitte?"
1,1,1,1,1,"😄 Mittelwert, Median, Standardabweichung, t-Wert, Angabe Wahrscheinlichkeit, Freiheitsgrade?"
1,0,1,1,1,"Ich könnte mir denken, dass p die Wahrscheinlichkeitsangabe sein könnte"
0,0,0,0,0,"Nein, hilft mir nicht weiter."
1,0,0,1,0,"Da käme ich schon von ""Stichprobe"" nicht auf ""N"","
0,1,0,1,0,"keine Ahnung, was es auf Englisch heißen würde 😋"
1,0,1,1,0,"Mittelwert und Median beide M?"
1,1,1,1,1,"😄"
1,1,1,1,1,"t-Wert könnte t sein 👍"
1,1,1,1,1,"like 1"
1,0,1,1,0,"Dann brauch ich noch die Standardabweichung bitte und die Freiheitsgrade"
1,0,1,1,0,"Großes S für die Abweichung, kleines f für die Freiheitsgrade?"
0,0,0,0,1,"D?"
0,0,0,1,1,"großes oder klein?"
1,0,1,1,1,"Aha, also 2 Ds🥸"
1,1,1,1,1,"danke!"
1,0,1,1,0,"DF für die Freiheitsgrade?"
1,1,1,1,1,"Danke."
1,1,1,1,1,"Den Teil endlich geschafft"
1,1,1,1,1,"😄"
1,1,0,1,1,"Bin schon beim Survey"
1,0,1,1,1,"*der Survey 🤔"
1,1,1,1,1,"Völlig richtig, war auf meine Antwort bezogen 😉"
1,1,1,1,1,"like 1"
1,1,1,1,1,"Alles erledigt"
