"r1","r2","r3","r4","r5","unit"
0,0,0,0,0,"In Deiner Bachelorarbeit möchtest Du den rot geschriebenen Satz direkt zitieren."
0,0,0,0,0,"Er stammt von Horst Speichert und ist auf Seite 80 des Buchs ""Schulangst. Ursachen und Auswege"" zu finden."
0,0,0,0,0,"Das Buch ist im Jahr 2020 erschienen."
0,1,0,0,1,"""Angst ist eine Reaktion des Organismus auf eine bedrohliche Situation"""
0,0,0,0,0,"Zunächst ist es wichtig, unterschiedliche Arten von Quellen/Medien zu unterscheiden."
0,0,0,0,0,"Teilweise werden diese unterschiedlich zitiert."
0,0,0,0,0,"Ein Beispiel sind Bücher."
1,0,1,0,1,"Welche weiteren Quellen fallen Dir ein?"
1,0,1,1,1,"Schreibe sie hier auf."
1,0,1,1,1,"Wenn Dir nichts einfällt, kannst Du Dich an ChatGPT wenden"
0,0,0,0,0,"Jetzt geht es darum, wie man Kapitel aus einem Buch im Literaturverzeichnis zitiert."
0,0,0,0,0,"Gib die richtige Zitation für das untere Buchkapitel an."
0,0,0,0,0,"Autor des Kapitels: Sigmund Tobias (Vorname, Nachname) Titel des Kapitels: Anxiety and cognitive processing of instruction Titel des Buches: Self-related cognitions in anxiety and motivation Autorin des Buchs: Margarete Schneider Seiten: 45-64 Erscheinungsjahr: 2013 Verlag: Psychology Press Sitz des Verlags ist London Trage hier deine Lösung ein:"
0,0,0,0,0,"Meistens nutzt man in der Psychologie Artikel aus Zeitschriften."
0,0,0,0,0,"Unten ist ein Beispiel abgebildet."
0,0,1,0,1,"Schreibe unten auf (roter Text), wie Du diesen Artikel zitierst!"
1,0,1,0,0,"Tipps: Bei diesem Artikel gibt es eine Seitenangabe!"
1,0,0,1,0,"Und achte auf die sogenannte doi-Nummer."
1,0,0,1,1,"Wenn Du Hilfe benötigst, kannst Du Dich an ChatGPT wenden"
0,0,0,0,0,"Autor: Güliz Özüturk und Ciödem Hürsen Erscheinungsjahr: 2013 Titel des Artikels: Determination of Englisch Language Learning Anxiety in EFL Classrooms Titel der Zeitschrift: Elsevier"
0,0,0,0,0,"Wo ist die bildnummer?"
0,0,0,0,0,"Seitenbereich: 1899-1907 DOI: https://doi.org/10.1016/j.sbspro.2013.07.055"
0,0,0,0,0,"Du hast verschiedene Arten von Quellen kennengelernt."
0,0,0,0,0,"Bücher, Kapitel/Artikel in Büchern, Artikel in Zeitschriften."
0,0,1,0,1,"Sind Dir Unterschiede und Ähnlichkeiten aufgefallen, wie diese Quellen zitiert werden?"
0,0,1,0,1,"Tragen Deine Beobachtungen unten ein (rot markiert)."
0,0,1,0,1,"Artikel in Büchern und Zeitschriftenartikel -- wo gibt es Unterschiede im Vorgehen?"
0,0,1,0,1,"Welche Regeln für die Zitation von Büchern, Buchkapiteln und Artikel in Zeitschriften sind Dir aufgefallen?"
1,0,1,1,1,"Gibt es Regeln, die Dir „unlogisch"" vorkamen oder die man sich schwer merken kann?"
0,0,0,0,0,"Die APA-Standards enthalten auch Regeln dazu, wie man statische Ergebnisse beschreibt."
0,0,0,0,0,"Du hast in Deiner Bachelorarbeit folgenden Text geschrieben (unten rot markiert)."
0,0,0,0,0,"Aber noch entspricht er nicht den APA-Standards."
0,0,1,0,1,"Was musst Du tun?"
0,0,0,0,1,"Im Text werden statistische Parameter mit den Ergebnissen Deiner Berechnungen beschrieben."
0,0,0,0,0,"Noch sind alle statistischen Parameter ausgeschrieben."
0,0,0,0,0,"Das liest sich mühsam und benötigt Platz."
0,0,1,0,1,"Daher geben die APA-Standards Abkürzungen vor."
0,0,0,0,1,"Suche zuerst die Abkürzungen und trage sie unten ein."
0,0,0,0,0,"Achte darauf, ob diese Abkürzungen kursiv oder in normaler Schrift geschrieben werden."
0,0,0,0,0,"Wie gibt man einen Wahrscheinlichkeitswert von .268 an"
